activity,person,meta_file,terminal_positoin
0_sequence,person02001,HASC0200002.meta,waist
0_sequence,person02002,HASC0200003.meta,waist
0_sequence,person02003,HASC0200004.meta,waist
0_sequence,person02004,HASC0200005.meta,waist
0_sequence,person02005,HASC0200006.meta,pants-pocket
0_sequence,person02006,HASC0200007.meta,pants-pocket
0_sequence,person02007,HASC0200008.meta,hand
0_sequence,person02009,HASC0200010.meta,hand
0_sequence,person02011,HASC0200012.meta,waist
0_sequence,person02017,HASC0200018.meta,pants-pocket
0_sequence,person02018,HASC0200019.meta,pants-pocket
0_sequence,person02019,HASC0200020.meta,pants-pocket
0_sequence,person02020,HASC0200021.meta,pants-pocket
0_sequence,person02021,HASC0200022.meta,pants-pocket
0_sequence,person02022,HASC0200023.meta,hand
0_sequence,person02022,HASC0200024.meta,pants-pocket
0_sequence,person02023,HASC0200026.meta,hand
0_sequence,person02023,HASC0200027.meta,pants-pocket
0_sequence,person02024,HASC0200029.meta,hand
0_sequence,person02024,HASC0200030.meta,pants-pocket
0_sequence,person02025,HASC0200032.meta,hand
0_sequence,person02025,HASC0200033.meta,pants-pocket
0_sequence,person02026,HASC0200035.meta,hand
0_sequence,person02026,HASC0200036.meta,pants-pocket
0_sequence,person02027,HASC0200038.meta,hand
0_sequence,person02027,HASC0200039.meta,pants-pocket
0_sequence,person02028,HASC0200041.meta,hand
0_sequence,person02028,HASC0200042.meta,pants-pocket
0_sequence,person02029,HASC0200044.meta,hand
0_sequence,person02029,HASC0200045.meta,pants-pocket
0_sequence,person02030,HASC0200047.meta,hand
0_sequence,person02030,HASC0200048.meta,pants-pocket
0_sequence,person02031,HASC0200050.meta,hand
0_sequence,person02031,HASC0200051.meta,pants-pocket
0_sequence,person02032,HASC0200053.meta,hand
0_sequence,person02032,HASC0200054.meta,pants-pocket
0_sequence,person02033,HASC0200056.meta,hand
0_sequence,person02033,HASC0200057.meta,pants-pocket
0_sequence,person02034,HASC0200059.meta,hand
0_sequence,person02034,HASC0200060.meta,pants-pocket
0_sequence,person02035,HASC0200062.meta,hand
0_sequence,person02035,HASC0200063.meta,pants-pocket
0_sequence,person02036,HASC0200065.meta,hand
0_sequence,person02036,HASC0200066.meta,pants-pocket
0_sequence,person02066,HASC0200107.meta,pants-pocket
0_sequence,person02067,HASC0200108.meta,waist
0_sequence,person02068,HASC0200109.meta,pants-pocket
0_sequence,person02069,HASC0200110.meta,waist
0_sequence,person02070,HASC0200111.meta,pants-pocket
0_sequence,person02087,HASC0200128.meta,hand
0_sequence,person02088,HASC0200129.meta,hand
0_sequence,person02089,HASC0200130.meta,hand
0_sequence,person02090,HASC0200131.meta,hand
0_sequence,person02091,HASC0200132.meta,hand
0_sequence,person03001,HASC0300002.meta,waist
0_sequence,person03002,HASC0300003.meta,waist
0_sequence,person03003,HASC0300004.meta,waist
0_sequence,person03004,HASC0300005.meta,waist
0_sequence,person03006,HASC0300007.meta,pants-pocket
0_sequence,person03007,HASC0300008.meta,pants-pocket
0_sequence,person03008,HASC0300009.meta,pants-pocket
0_sequence,person03009,HASC0300010.meta,pants-pocket
0_sequence,person03010,HASC0300011.meta,pants-pocket
0_sequence,person03011,HASC0300012.meta,hand
